 Company ,Model Name,Variant,Price,Launch year,Car type,Engine,Mileage,Range,Transmission type,Fuel type,Battery capacity,Top speed,Airbags count,"ABS, EBD",ADAS features,NCAP rating,Parking sensors/camera,Infotainment system,Touchscreen size,Sunroof,AC type,Seat material,Connectivity,Ex-showroom price,Car images,Charging Time DC,Charging Time AC,Electric Motor Power,Seating capacity,Engine (cc),Turbo,Horsepower (est.),Warranty,Headlight,Power,Torque,Fuel Tank Capacity
Tata,Tiago,XE,4.57,2016,Hatchback,1.2L Revotron,19.01,,Manual,Petrol,—,150,2,Yes,No,4★,Sensors,Basic,—,No,Manual,Fabric,—,4.57 Lakh,/assets/vehicle_images/tata/Tata Tiago.png,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,86 PS,113 Nm,35 L
Tata,Tiago,XT,5.8,2016,Hatchback,1.2L Revotron,19.01,,Manual,Petrol,—,150,2,Yes,No,4★,Sensors,Basic,—,No,Manual,Fabric,—,5.8 Lakh,,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,86 PS,113 Nm,35 L
Tata,Tiago,XZ+,6.4,2016,Hatchback,1.2L Revotron,19.01,,Manual,Petrol,—,150,2,Yes,No,4★,Cam+Sensor,Premium,"7""",No,Auto,Fabric,AA/CarPlay,6.4 Lakh,,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,86 PS,113 Nm,35 L
Tata,Tiago,XZA+ AMT,6.9,2016,Hatchback,1.2L Revotron,19.01,,AMT,Petrol,—,150,2,Yes,No,4★,Cam+Sensor,Premium,"7""",,Auto,Fabric,AA/CarPlay,6.9 Lakh,,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,86 PS,113 Nm,35 L
Tata,Tiago,XZ+ CNG,7.31,2016,Hatchback,1.2L Revotron,26.49,,Manual,CNG,—,150,2,Yes,No,4★,Cam+Sensor,Premium,"7""",No,Auto,Fabric,AA/CarPlay,7.31 Lakh,,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,73 PS,95 Nm,60 L
Tata,Altroz,Smart Petrol,6.3,2020,Hatchback,1.2L Revotron,19.33,,Manual,Petrol,—,165,6,Yes,No,5★,Sensors,Basic,—,No,Manual,Fabric,—,6.3 Lakh,/assets/vehicle_images/tata/Tata Altroz.png,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,88 PS,115 Nm,37 L
Tata,Altroz,Pure S Petrol,7.36,2020,Hatchback,1.2L Revotron,19.33,,Manual,Petrol,—,165,6,Yes,No,5★,Sensors,Premium,"7""",Yes,Manual,Fabric,AA/CarPlay,7.36 Lakh,,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,88 PS,115 Nm,37 L
Tata,Altroz,Creative S DCA,8.27,2020,Hatchback,1.2L Revotron,18.5,,DCA,Petrol,—,165,6,Yes,No,5★,Cam+Sensor,Premium,"7""",Yes,Auto,Fabric,AA/CarPlay,8.27 Lakh,,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,88 PS,115 Nm,37 L
Tata,Altroz,Pure Diesel,8.09,2020,Hatchback,1.5L Revotorq,23.64,,Manual,Diesel,—,165,6,Yes,No,5★,Sensors,Premium,"7""",No,Manual,Fabric,AA/CarPlay,8.09 Lakh,,,,,5,1500,No,94,3 Years / 1 Lakh km,Halogen,90 PS,200 Nm,37 L
Tata,Altroz,Accomplished S CNG,9.14,2020,Hatchback,1.2L Revotron,26.2,,Manual,CNG,—,165,6,Yes,No,5★,Cam+Sensor,Premium,"10.25""",Yes,Auto,Premium,AA/CarPlay,9.14 Lakh,,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,73.5 PS,103 Nm,60 L
Tata,Tigor,XM,5.48,2017,Sedan,1.2L Revotron,19.2,,Manual,Petrol,—,150,2,Yes,No,4★,Sensors,Basic,—,No,Manual,Fabric,—,5.48 Lakh,/assets/vehicle_images/tata/Tata Tigor.png,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,86 PS,113 Nm,35 L
Tata,Tigor,XZ+,6.21,2017,Sedan,1.2L Revotron,19.2,,Manual,Petrol,—,150,2,Yes,No,4★,Cam+Sensor,Premium,"7""",No,Auto,Fabric,AA/CarPlay,6.21 Lakh,,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,86 PS,113 Nm,35 L
Tata,Tigor,XZA+ AMT,6.71,2017,Sedan,1.2L Revotron,19.2,,AMT,Petrol,—,150,2,Yes,No,4★,Cam+Sensor,Premium,"7""",No,Auto,Fabric,AA/CarPlay,6.71 Lakh,,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,86 PS,113 Nm,35 L
Tata,Tigor,XZ+ CNG,7.11,2017,Sedan,1.2L Revotron,26.4,,Manual,CNG,—,150,2,Yes,No,4★,Cam+Sensor,Premium,"7""",No,Auto,Fabric,AA/CarPlay,7.11 Lakh,,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,73 PS,95 Nm,60 L
Tata,Nexon,Smart Petrol,7.31,2017,SUV,1.2L Turbo,17.44,,Manual,Petrol,—,180,6,Yes,No,5★,Sensors,Basic,—,No,Manual,Fabric,—,7.31 Lakh,/assets/vehicle_images/tata/Tata Nexon.png,,,,5,1200,Yes,75,3 Years / 1 Lakh km,LED,120 PS,170 Nm,44 L
Tata,Nexon,Pure+ S Petrol,9.31,2017,SUV,1.2L Turbo,17.44,,Manual,Petrol,—,180,6,Yes,No,5★,Cam+Sensor,Premium,"7""",Yes,Auto,Fabric,AA/CarPlay,9.31 Lakh,,,,,5,1200,Yes,75,3 Years / 1 Lakh km,LED,120 PS,170 Nm,44 L
Tata,Nexon,Creative+ S DCA,11.31,2017,SUV,1.2L Turbo,17.01,,DCA,Petrol,—,180,6,Yes,No,5★,360° Cam,Premium,"10.25""",Yes,Auto,Fabric,AA/CarPlay,11.31 Lakh,,,,,5,1200,Yes,75,3 Years / 1 Lakh km,LED,120 PS,170 Nm,44 L
Tata,Nexon,Fearless+ S Diesel,13.31,2017,SUV,1.5L Turbo,23.23,,Manual,Diesel,—,180,6,Yes,No,5★,360° Cam,Premium,"10.25""",Yes,Auto,Leatherette,AA/CarPlay,13.31 Lakh,,,,,5,1500,Yes,94,3 Years / 1 Lakh km,LED,115 PS,260 Nm,44 L
Tata,Nexon,Smart CNG,8.31,2017,SUV,1.2L Turbo,24.08,,Manual,CNG,—,180,6,Yes,No,5★,Sensors,Basic,—,No,Manual,Fabric,—,8.31 Lakh,,,,,5,1200,Yes,75,3 Years / 1 Lakh km,LED,100 PS,170 Nm,60 L
Tata,Safari,Smart Diesel,13.29,2021,SUV,2.0L Turbo,16.3,,Manual,Diesel,—,180,6,Yes,No,5★,Sensors,Basic,—,No,Auto,Fabric,—,13.29 Lakh,/assets/vehicle_images/tata/Tata Safari.png,,,,7,2000,Yes,125,3 Years / 1 Lakh km,LED,170 PS,350 Nm,50 L
Tata,Safari,Pure+ Diesel,15.29,2021,SUV,2.0L Turbo,16.3,,Manual,Diesel,—,180,6,Yes,No,5★,Cam+Sensor,Premium,"10.25""",Yes,Auto,Fabric,AA/CarPlay,15.29 Lakh,,,,,7,2000,Yes,125,3 Years / 1 Lakh km,LED,170 PS,350 Nm,50 L
Tata,Safari,Adventure+ Diesel,17.29,2021,SUV,2.0L Turbo,16.3,,Manual,Diesel,—,180,6,Yes,No,5★,360° Cam,Premium,"10.25""",Yes,Auto,Leatherette,AA/CarPlay,17.29 Lakh,,,,,7,2000,Yes,125,3 Years / 1 Lakh km,LED,170 PS,350 Nm,50 L
Tata,Safari,Accomplished+ AT,20.29,2021,SUV,2.0L Turbo,14.1,,Auto,Diesel,—,180,7,Yes,Yes,5★,360° Cam,Premium,"12.3""",Yes,Auto,Leatherette,AA/CarPlay,20.29 Lakh,,,,,7,2000,Yes,125,3 Years / 1 Lakh km,LED,170 PS,350 Nm,50 L
Tata,Safari,Accomplished+ Dark AT,21.29,2021,SUV,2.0L Turbo,14.1,,Auto,Diesel,—,180,7,Yes,Yes,5★,360° Cam,Premium,"12.3""",Yes,Auto,Leatherette,AA/CarPlay,21.29 Lakh,,,,,7,2000,Yes,125,3 Years / 1 Lakh km,LED,170 PS,350 Nm,50 L
Tata,Sierra,Smart+ Petrol MT,11.49,2025,SUV,1.5L Petrol,16-20,,Manual,Petrol,—,180,6,Yes,Yes,5★,Sensors,Basic,"4""",No,Auto,Fabric,—,11.49 Lakh,/assets/vehicle_images/tata/Tata Sierra.png,,,,5,1500,No,94,3 Years / 1 Lakh km,LED,125 PS,225 Nm,50 L
Tata,Sierra,Smart+ Diesel MT,12.99,2025,SUV,1.5L Diesel,16-20,,Manual,Diesel,—,180,6,Yes,Yes,5★,Sensors,Basic,"4""",No,Auto,Fabric,—,12.99 Lakh,,,,,5,1500,No,94,3 Years / 1 Lakh km,LED,115 PS,260 Nm,50 L
Tata,Sierra,Pure Petrol MT,12.99,2025,SUV,1.5L Petrol,16-20,,Manual,Petrol,—,180,6,Yes,Yes,5★,Cam+Sensor,Premium,"10.25""",No,Auto,Leatherette,AA/CarPlay,12.99 Lakh,,,,,5,1500,No,94,3 Years / 1 Lakh km,LED,125 PS,225 Nm,50 L
Tata,Sierra,Pure+ Petrol MT,14.49,2025,SUV,1.5L Petrol,16-20,,Manual,Petrol,—,180,6,Yes,Yes,5★,Cam+Sensor,Premium,"10.25""",Panoramic,Auto,Leatherette,AA/CarPlay,14.49 Lakh,,,,,5,1500,No,94,3 Years / 1 Lakh km,LED,125 PS,225 Nm,50 L
Tata,Sierra,Adventure Petrol MT,15.29,2025,SUV,1.5L Petrol,16-20,,Manual,Petrol,—,180,6,Yes,Yes,5★,360° Cam,Premium,"10.25""",Panoramic,Auto,Leatherette,AA/CarPlay,15.29 Lakh,,,,,5,1500,No,94,3 Years / 1 Lakh km,LED,125 PS,225 Nm,50 L
