Company,Model Name,Variant,Price,Launch year,Car type,Engine,Mileage,Range,Transmission type,Fuel type,Battery capacity,Top speed,Airbags count,"ABS, EBD",ADAS features,NCAP rating,Parking sensors/camera,Infotainment system,Touchscreen size,Sunroof,AC type,Seat material,Connectivity,Ex-showroom price,Car images,Charging Time DC,Charging Time AC,Electric Motor Power,Seating capacity,Engine (cc),Turbo,Horsepower (est.),Warranty,Headlight,Power,Torque,Fuel Tank Capacity
Tata,Tiago,XE,4.57,2016,Hatchback,1.2L Revotron,19.01,,Manual,Petrol,—,150,2,Yes,No,4★,Sensors,Basic,—,No,Manual,Fabric,—,4.57 Lakh,/assets/vehicle_images/tata/Tata Tiago.png,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,86 PS,113 Nm,35 L
Tata,Tiago,XT,5.8,2016,Hatchback,1.2L Revotron,19.01,,Manual,Petrol,—,150,2,Yes,No,4★,Sensors,Basic,—,No,Manual,Fabric,—,5.8 Lakh,/assets/vehicle_images/tata/Tata Tiago.png,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,86 PS,113 Nm,35 L
Tata,Tiago,XZ+,6.4,2016,Hatchback,1.2L Revotron,19.01,,Manual,Petrol,—,150,2,Yes,No,4★,Cam+Sensor,Premium,"7""",No,Auto,Fabric,AA/CarPlay,6.4 Lakh,/assets/vehicle_images/tata/Tata Tiago.png,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,86 PS,113 Nm,35 L
Tata,Tiago,XZA+ AMT,6.9,2016,Hatchback,1.2L Revotron,19.01,,AMT,Petrol,—,150,2,Yes,No,4★,Cam+Sensor,Premium,"7""",,Auto,Fabric,AA/CarPlay,6.9 Lakh,/assets/vehicle_images/tata/Tata Tiago.png,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,86 PS,113 Nm,35 L
Tata,Tiago,XZ+ CNG,7.31,2016,Hatchback,1.2L Revotron,26.49,,Manual,CNG,—,150,2,Yes,No,4★,Cam+Sensor,Premium,"7""",No,Auto,Fabric,AA/CarPlay,7.31 Lakh,/assets/vehicle_images/tata/Tata Tiago.png,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,73 PS,95 Nm,60 L
Tata,Altroz,Smart Petrol,6.3,2020,Hatchback,1.2L Revotron,19.33,,Manual,Petrol,—,165,6,Yes,No,5★,Sensors,Basic,—,No,Manual,Fabric,—,6.3 Lakh,/assets/vehicle_images/tata/Tata Altroz.png,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,88 PS,115 Nm,37 L
Tata,Altroz,Pure S Petrol,7.36,2020,Hatchback,1.2L Revotron,19.33,,Manual,Petrol,—,165,6,Yes,No,5★,Sensors,Premium,"7""",Yes,Manual,Fabric,AA/CarPlay,7.36 Lakh,/assets/vehicle_images/tata/Tata Altroz.png,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,88 PS,115 Nm,37 L
Tata,Altroz,Creative S DCA,8.27,2020,Hatchback,1.2L Revotron,18.5,,DCA,Petrol,—,165,6,Yes,No,5★,Cam+Sensor,Premium,"7""",Yes,Auto,Fabric,AA/CarPlay,8.27 Lakh,/assets/vehicle_images/tata/Tata Altroz.png,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,88 PS,115 Nm,37 L
Tata,Altroz,Pure Diesel,8.09,2020,Hatchback,1.5L Revotorq,23.64,,Manual,Diesel,—,165,6,Yes,No,5★,Sensors,Premium,"7""",No,Manual,Fabric,AA/CarPlay,8.09 Lakh,/assets/vehicle_images/tata/Tata Altroz.png,,,,5,1500,No,94,3 Years / 1 Lakh km,Halogen,90 PS,200 Nm,37 L
Tata,Altroz,Accomplished S CNG,9.14,2020,Hatchback,1.2L Revotron,26.2,,Manual,CNG,—,165,6,Yes,No,5★,Cam+Sensor,Premium,"10.25""",Yes,Auto,Premium,AA/CarPlay,9.14 Lakh,/assets/vehicle_images/tata/Tata Altroz.png,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,73.5 PS,103 Nm,60 L
Tata,Tigor,XM,5.48,2017,Sedan,1.2L Revotron,19.2,,Manual,Petrol,—,150,2,Yes,No,4★,Sensors,Basic,—,No,Manual,Fabric,—,5.48 Lakh,/assets/vehicle_images/tata/Tata Tigor.png,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,86 PS,113 Nm,35 L
Tata,Tigor,XZ+,6.21,2017,Sedan,1.2L Revotron,19.2,,Manual,Petrol,—,150,2,Yes,No,4★,Cam+Sensor,Premium,"7""",No,Auto,Fabric,AA/CarPlay,6.21 Lakh,/assets/vehicle_images/tata/Tata Tigor.png,,,,5,1200,No,75,3 Years / 1 Lakh km,Halogen,86 PS,113 Nm,35 L
